,9.mid,3.mid,5.mid,2.mid,4.mid,0.mid,6.mid,7.mid,8.mid,1.mid
9.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.mid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
